,Representative,Times Beat Var Rank
0,Zoe Lofgren,240
1,William R. Timmons Iv,601
2,William R. Keating,22
3,Warren Davidson,992
4,W. Greg Steube,970
5,Virginia Foxx,1000
6,Victoria Spartz,835
7,Tommy Tuberville,525
8,Tom Udall,710
9,Tom Rice,545
10,Tom O'Halleran,763
11,Tom Malinowski,998
12,Tina Smith,956
13,Tim Kaine,518
14,Tim Burchett,903
15,Thomas Suozzi,994
16,Thomas R. Carper,1000
17,Thomas Massie,240
18,Thomas Macarthur,1000
19,Thomas J. Rooney,517
20,Thomas H. Kean Jr.,730
21,Thomas H. Kean,29
22,Thom Tillis,912
23,Teresa Leger Fernandez,941
24,Ted Cruz,436
25,Tammy Duckworth,365
26,Suzan K. Delbene,217
27,Susie Lee,989
28,Susan W. Brooks,602
29,Susan M. Collins,697
30,Susan A. Davis,961
31,Steve Knight,1000
32,Steve Cohen,537
33,Stephanie Murphy,832
34,Stephanie Bice,604
35,Shri Thanedar,699
36,Shelley Moore Capito,456
37,Sheldon Whitehouse,974
38,Seth Moulton,766
39,Sean Patrick Maloney,112
40,Scott Mr Franklin,137
41,Scott H. Peters,1000
42,Scott Franklin,168
43,Sara Jacobs,298
44,Roy Blunt,987
45,Ron Wyden,465
46,Ron Estes,777
47,Roger W. Marshall,726
48,Rodney Leland Blum,987
49,Robert J. Wittman,490
50,Robert E. Latta,999
51,"Robert C. ""Bobby"" Scott",388
52,Robert B. Aderholt,222
53,Rob Woodall,417
54,Rick Larsen,160
55,Richard W. Allen,628
56,Richard Burr,999
57,Richard Blumenthal,1000
58,Raúl M. Grijalva,309
59,Peter Welch,1000
60,Peter Meijer,48
61,Peter J. Visclosky,997
62,Pete Sessions,570
63,Paul Mitchell Iii,771
64,Patrick T. Mchenry,509
65,Patrick Fallon,381
66,Pat Toomey,1000
67,Pat Roberts,320
68,Nicholas Van Taylor,0
69,Nicholas V. Taylor,216
70,Nancy Pelosi,344
71,Mrs. Marjorie Taylor Greene,182
72,Mr. Scott Franklin,780
73,Mr. Peter Meijer,35
74,Morgan Mcgarvey,96
75,Mo Brooks,1000
76,Mikie Sherrill,997
77,Michael Patrick Guest,999
78,Michael K. Simpson,1000
79,Michael John Gallagher,844
80,Michael Garcia,269
81,Michael C. Burgess,304
82,Matt Gaetz,983
83,Mary Gay Scanlon,898
84,Mark Warner,165
85,Mark R Meadows,987
86,Mark Green,1000
87,Mark Dr Green,1000
88,Marjorie Taylor Greene,348
89,Marie Newman,379
90,Maria Elvira Salazar,879
91,Marcy Kaptur,701
92,Lori Trahan,449
93,Lois Frankel,761
94,Lloyd K. Smucker,683
95,Lloyd Doggett,630
96,Lindsey Graham,953
97,Larry Bucshon,509
98,Lamar Smith,969
99,Kim Schrier,983
100,Kim Dr Schrier,225
101,Kevin Yoder,996
102,Kevin Hern,311
103,Kenneth R. Buck,781
104,Kelly Loeffler,81
105,Keith J. Rothfus,797
106,Kathy Manning,44
107,Kathy Castor,749
108,Katherine M. Clark,815
109,K. Michael Conaway,999
110,Justin Amash,955
111,Judy Chu,957
112,Josh Gottheimer,25
113,Joseph D. Morelle,528
114,Jonathan Jackson,40
115,John W. Rose,764
116,John Thune,825
117,John Rutherford,1000
118,John Kennedy,364
119,John Hoeven,997
120,John Hickenlooper,13
121,John Garamendi,488
122,John F. Reed,880
123,John Curtis,49
124,John Boozman,961
125,John B. Larson,133
126,John A. Yarmuth,82
127,Joe Courtney,504
128,Jerry Moran,999
129,Jennifer Mcclellan,736
130,Jared Moskowitz,285
131,James R. Langevin,648
132,James M. Inhofe,171
133,James French Hill,781
134,James E. Banks,1000
135,James E Hon Banks,998
136,James Comer,962
137,Jacky Rosen,884
138,Jackie Speier,888
139,Harley E. Rouda Jr.,1000
140,Hakeem S. Jeffries,730
141,Greg Steube,998
142,Greg Murphy,992
143,Greg Gianforte,68
144,Grace Meng,151
145,Gilbert Cisneros,795
146,Gerald E. Connolly,969
147,Gary Peters,990
148,Gary Palmer,888
149,Garret Graves,664
150,Frank Pallone Jr.,745
151,Frank A. Lobiondo,364
152,Elizabeth Fletcher,401
153,Elaine Luria,292
154,Ed Perlmutter,389
155,Ed Case,461
156,Earl Blumenauer,819
157,Dwight Evans,937
158,Donna Shalala,1000
159,Donald Sternoff Beyer Jr.,223
160,Donald Sternoff Beyer Jr,596
161,Donald Sternoff  Beyer Jr,127
162,Dianne Feinstein,965
163,Deborah Ross,119
164,Deborah K. Ross,101
165,Debbie Wasserman Schultz,1000
166,Debbie Dingell,999
167,Deb Fischer,122
168,Dean Phillips,124
169,David Trone,859
170,David Perdue,1000
171,David P. Joyce,249
172,David Madison Cawthorn,161
173,David Kustoff,971
174,David E. Price,915
175,David Cheston Rouzer,985
176,David B. Mckinley,240
177,David A. Trott,1000
178,Daniel Meuser,428
179,Daniel Goldman,1000
180,Daniel Crenshaw,178
181,Dan Sullivan,25
182,Dan Newhouse,17
183,Cynthia Lummis,400
184,Cindy Axne,33
185,Christopher L. Jacobs,1000
186,Chris Coons,72
187,Cheri Bustos,369
188,Carol Devine Miller,648
189,Carlos Curbelo,993
190,Bryan George Steil,925
191,Brian Mast,1000
192,Brian Higgins,615
193,Brian Babin,954
194,Bradley S. Schneider,859
195,Bob Gibbs,973
196,Blake Moore,492
197,Bill Pascrell Jr.,669
198,Bill Hagerty,357
199,Bill Flores,1000
200,Bill Cassidy,951
201,Barbara J  Comstock,830
202,Austin Scott,1000
203,August Lee Pfluger Ii,965
204,Aston Donald Mceachin,367
205,Ashley Hinson Arenholz,416
206,Anthony E. Gonzalez,149
207,Angus King,138
208,Andrew Garbarino,1000
209,Alan S. Lowenthal,132
210,Adam Kinzinger,1000
211,Adam B. Schiff,333
212,Abigail Spanberger,155
213,A. Mitchell Jr. McConnell,999
